STABRV,totpop1990,immpop1990,pctimm1990,totpop2000,immpop2000,pctimm2000,totpop2010,immpop2010,pctimm2010,totpop2016,immpop2016,pctimm2016,det2017,det2016,det2015,det2014,det2013,det2012,det2011,det2010,det2009,det2008,det2007,avg2007_2017,tot2007_2017,rem2016,arr2015,arr2016,arr2017,arr2018,dep2007,dep2008,dep2009,dep2010,dep2011,pctchg,PopUnauth,PopUnauth2016,detainersper1kimm,det2013_2017,ici2018,ici2011,ici2009,ici18,sci_state,sci_stateusingcounty,sci_county_pop_weighted,nScrapedOrgs,legalorgsper1kimm,pctchangetot1990_2016,pctchangeimm1990_2016,pctchangetot2000_2016,pctchangeimm2000_2016,nIRXOrgs,std.IRXOrgs,nLegalEthnicOrgs,std.LegalEthnicOrgs,nEthnicOrgs,std.EthnicOrgs,metro_micro,immbydelineator,percImmMetro,det2007_2017per1kimmpop2016,avgarrests.std,totarrests.std,totarrests,avgarrests
MT,799100,13800,0.017243904,902200,16400,0.018173455,990900,20000,0.020214997,1042500,21900,0.021000077,71,31,32,22,20,38,59,59,74,15,1,38.36363636,422,26,29,23,72,54,1,1,112,131,14,1.21875,3000,3000,1.751764218,11.73333333,-0.05,-73,-10,-5,0.7587919,0.721781,0.2361244,1,0.0456621,0.304674839,0.588867117,0.155537328,0.335264699,392,17.89954338,3,0.136986301,1,0.0456621,Metropolitan Statistical Area,8580,0.378223496,1.926940639,0.014833333,0.059333333,178,44.5
NE,1578400,28200,0.017865096,1711300,74600,0.043615739,1830400,112200,0.061285087,1907100,134100,0.070334998,718,502,446,950,1487,1799,1869,1284,1481,802,320,1059.818182,11658,1,727,606,949,735,2838,2781,1,2315,125,0.609865471,60000,60000,7.903193004,13.67666667,-0.06,-83,-14,-6,1.085519,1.149562,0.6916409,10,0.074571216,0.208270479,3.756968579,0.114449386,0.797167663,535,3.98956003,6,0.044742729,12,0.089485459,Metropolitan Statistical Area,101492,0.760672743,8.693512304,0.012570833,0.050283333,3017,754.25
NV,1201800,104800,0.087223433,1998300,316600,0.158434576,2704600,508500,0.187994566,2940100,586800,0.199587559,2242,1445,1366,1636,1894,2792,3417,4397,2879,2967,593,2329.818182,25628,134,2367,2624,2449,1879,1982,282,2691,188,2187,0.641288433,210000,210000,3.970378633,8.174285714,0.22,-22,-4,22,-1.73227,-1.748155,-1.812996,7,0.011929107,1.446311592,4.597731522,0.471311248,0.853480652,530,0.903203817,7,0.011929107,20,0.034083163,Metropolitan Statistical Area,545263,0.96268185,4.367416496,0.011094048,0.04437619,9319,2329.75
NH,1109300,41200,0.037135836,1235800,54200,0.043821503,1316800,69700,0.052964893,1334800,76300,0.057169078,198,175,151,156,110,151,192,166,118,68,168,150.2727273,1653,NA,332,258,479,274,10159,12167,84,8194,155,0.311258278,10000,10000,1.969498392,15.8,-0.11,-9,-4,-11,1.452884,1.32644,0.926145,4,0.05242464,0.20332891,0.852474935,0.080118241,0.409111054,290,3.80078637,NA,NA,16,0.209698558,Metropolitan Statistical Area,60445,0.743599838,2.166448231,0.033575,0.1343,1343,335.75
NJ,7730200,966600,0.125043531,8414400,1476300,0.175453481,8801600,1844600,0.209572802,8944500,2016100,0.225400189,2666,1422,1209,2397,3142,4053,4276,5051,5256,4013,686,3106.454545,34171,1009,2650,2315,3311,2390,162,263,8683,242,7310,1.205128205,475000,475000,1.540823642,4.562526316,0.05,-12,-3,5,-0.2875149,0.2192799,-0.0831816,29,0.014384207,0.157082984,1.085727439,0.063001777,0.365608703,2170,1.076335499,26,0.012896186,169,0.083825207,Metropolitan Statistical Area,1968060,1,1.694906007,0.005613684,0.022454737,10666,2666.5
NM,1515100,80500,0.053142134,1819000,149600,0.082244209,2065900,205100,0.099297073,2081000,198400,0.095340975,551,303,416,1213,1495,1991,3170,2993,2310,2057,611,1555.454545,17110,1693,584,443,461,369,41,45,170,52,396,0.324519231,60000,60000,7.839992669,13.26,0.1,22,5,10,-1.497846,-2.095789,-1.891202,7,0.035282258,0.373544703,1.464242244,0.1440145,0.326190126,469,2.36391129,57,0.287298387,611,3.079637097,Metropolitan Statistical Area,144226,0.716707912,8.623991935,0.0077375,0.03095,1857,464.25
NY,17990500,2851900,0.158520782,18976500,3868100,0.203838525,19392300,4297600,0.221614546,19745300,4536100,0.229731507,5333,2438,3206,7213,8316,8544,8922,8875,8346,8382,6810,6944.090909,76385,2738,3588,3018,4065,3385,135,151,30,16,44,0.663443543,725000,725000,1.53085049,7.312,0.16,0,2,16,-0.9779823,-0.8969795,-0.9500343,183,0.040343026,0.097542502,0.590580677,0.040515045,0.172688478,5092,1.122550208,90,0.019840832,463,0.10207006,Metropolitan Statistical Area,4391585,0.989119558,1.683935539,0.004846897,0.019387586,14056,3514
NC,6628600,115100,0.017360583,8049300,430000,0.053420708,9561600,719100,0.075211278,10146800,789600,0.077821474,4098,2239,2363,3695,5285,8001,9199,7742,4914,3536,937,4728.090909,52009,89,2745,2442,3581,2563,25,60,124,267,74,0.73423614,325000,325000,5.987957078,10.88,-0.17,-31,-4,-17,-0.4648878,-0.2147946,-0.453492,34,0.043059777,0.530750288,5.861822953,0.260578139,0.836367442,2913,3.689209726,19,0.024062817,65,0.082320162,Metropolitan Statistical Area,701498,0.877293601,6.586752786,0.008716154,0.034864615,11331,2832.75
ND,638800,9400,0.014696306,642200,12100,0.018863282,674500,16600,0.02466868,758000,24600,0.032440006,108,90,67,67,103,105,69,90,48,37,39,74.81818182,823,92,122,131,170,105,86,82,29,83,87,0.611940299,5000,5000,3.041389505,17.4,-0.08,-1,-3,-8,0.9769878,1.180235,0.7505374,1,0.040650407,0.186526299,1.619088198,0.180244472,1.029717682,186,7.56097561,1,0.040650407,2,0.081300813,Metropolitan Statistical Area,18778,0.633770968,3.345528455,0.0264,0.1056,528,132
OH,10847100,259700,0.023939361,11353100,339300,0.029884155,11536200,469700,0.040719538,11614400,513600,0.044220381,1130,661,1202,2547,3227,3781,4418,4468,3438,2058,795,2520.454545,27725,23,1536,1113,1588,1284,29,85,41,48,9,-0.059900166,90000,90000,4.907427074,19.48222222,0,-10,1,0,-0.2594954,0.0249741,-0.2882433,19,0.036993769,0.070733831,0.977841362,0.023009758,0.513774799,3001,5.843068536,16,0.031152648,79,0.153816199,Metropolitan Statistical Area,486110,0.933066657,5.398169782,0.015336111,0.061344444,5521,1380.25
OK,3145600,65500,0.020819339,3450700,131700,0.038180299,3761700,206400,0.054863995,3923600,228400,0.058215993,2437,1140,1331,2086,2483,3590,2723,3167,1546,2552,209,2114.909091,23264,NA,1815,1788,3246,2352,417,272,78,67,30,0.83095417,85000,85000,9.259672027,22.29882353,-0.45,-196,-35,-45,-0.7056794,-0.7204764,-0.7983361,25,0.109457093,0.247323153,2.487822382,0.137048513,0.733732077,1420,6.217162872,10,0.043782837,17,0.074430823,Metropolitan Statistical Area,187350,0.79881127,10.18563923,0.027061765,0.108247059,9201,2300.25
OR,2842300,139300,0.049011706,3421400,289700,0.08467355,3839000,375700,0.097876324,4093500,394200,0.096303987,945,668,555,1925,2914,4053,3961,4429,4897,2986,166,2499.909091,27499,39,1113,1081,1171,662,1666,1535,323,447,59,0.702702703,110000,110000,6.34172778,12.74,0.38,-35,-9,38,0.7869945,0.7809678,0.1849898,14,0.035514967,0.44018392,1.829843439,0.196430174,0.360767271,1273,3.229325216,14,0.035514967,54,0.136986301,Metropolitan Statistical Area,367113,0.904618046,6.975900558,0.009152273,0.036609091,4027,1006.75
PA,11881600,369300,0.031082907,12281100,508300,0.041388223,12709600,739100,0.058150237,12784200,870900,0.068124025,3262,2233,2155,2955,4027,4136,4612,4610,4754,4017,793,3414,37554,118,3488,3003,4137,2995,43,31,1416,1080,300,0.513689095,170000,170000,3.920082673,17.21411765,-0.04,9,4,-4,-0.008827,0.0500151,-0.3017223,24,0.027557699,0.075964578,1.358178362,0.040971483,0.713414166,3455,3.967160409,20,0.022964749,110,0.12630612,Metropolitan Statistical Area,843650,0.974506769,4.31209094,0.020033824,0.080135294,13623,3405.75
RI,1003500,95100,0.094759752,1048300,119300,0.113779298,1052900,134300,0.127587412,1056400,148500,0.140549362,107,74,33,100,123,181,295,252,414,687,162,220.7272727,2428,16,137,137,277,187,31,75,4,6,8,2.242424242,30000,30000,1.486378941,2.913333333,0.11,-10,0,11,0.2448884,-0.0397057,-0.0487255,5,0.033670034,0.052779173,0.561500925,0.007733333,0.244833455,334,2.249158249,1,0.006734007,10,0.067340067,Metropolitan Statistical Area,144197,1,1.635016835,0.00615,0.0246,738,184.5
SC,3486700,50000,0.01432987,4012000,116000,0.02890769,4636300,218500,0.047126682,4961100,238000,0.047965792,2295,991,1079,1862,2119,3461,4655,2152,572,807,187,1834.545455,20180,1,1604,1537,2318,1751,133540,161600,68,38,10,1.126969416,85000,85000,7.708174179,19.63764706,-0.72,-212,-39,-72,-0.6401047,-0.9086362,-0.915406,17,0.071428571,0.422868251,3.762709151,0.236566341,1.051802928,1247,5.239495798,4,0.016806723,17,0.071428571,Metropolitan Statistical Area,221209,0.920021294,8.478991597,0.021205882,0.084823529,7210,1802.5
SD,696000,7700,0.011107695,754800,13500,0.017877866,816500,22200,0.027236997,865500,30900,0.035733846,212,95,99,199,278,435,393,356,461,305,154,271.5454545,2987,NA,146,190,296,247,1451,2013,174431,157997,35,1.141414141,5000,5000,8.787878788,35.32,-0.03,-13,-2,-3,1.011987,0.8448726,0.5642267,2,0.064724919,0.243461244,3.000258699,0.146533588,1.291663579,292,9.449838188,NA,NA,5,0.161812298,Metropolitan Statistical Area,18891,0.627357864,9.666666667,0.04395,0.1758,879,219.75
TN,4877200,59100,0.012120516,5689300,159000,0.027947986,6356900,289000,0.045461331,6651200,320000,0.04811482,2160,1216,1448,2126,2876,4129,5208,3381,2435,688,99,2342.363636,25766,7,1648,1533,2414,1903,69,66,2243,1842,184407,0.491712707,130000,130000,7.319886364,15.11692308,-0.56,-123,-21,-56,-0.7044138,-1.164888,-1.314315,14,0.04375,0.363736254,4.413624522,0.169074205,1.012660059,1986,6.20625,8,0.025,36,0.1125,Metropolitan Statistical Area,298602,0.893852039,8.051875,0.014419231,0.057676923,7498,1874.5
TX,16986500,1524400,0.08974392,20851800,2899600,0.13905942,25257100,4142000,0.163994627,27862600,4729900,0.169758769,28359,19621,21446,34541,44984,52828,51766,48126,31736,21563,9949,33174.45455,364919,114290,32996,30529,36830,27657,68,97,86,73,1410,0.322344493,1600000,1600000,7.013775037,18.618875,-0.69,-94,-19,-69,-0.9982969,-0.8337145,-0.9000949,88,0.018605045,0.640277844,2.102734388,0.336218901,0.631208266,7943,1.679316687,78,0.016490835,302,0.06384913,Metropolitan Statistical Area,4445999,0.938629533,7.71515254,0.020001875,0.0800075,128012,32003
UT,1722900,58600,0.034013408,2233200,158700,0.07104881,2776500,222600,0.080187461,3051200,252300,0.082699133,1593,960,1186,1302,1498,2164,2444,2619,3147,1164,392,1679,18469,54,1477,1473,1873,1263,904,663,78,81,100,0.34317032,95000,95000,6.65477606,13.76631579,-0.37,-161,-37,-37,2.081244,1.500119,0.6120765,5,0.019817677,0.771028819,3.306023891,0.366317104,0.590360762,380,1.50614348,2,0.007927071,22,0.08719778,Metropolitan Statistical Area,241140,0.9398971,7.320253666,0.016015789,0.064063158,6086,1521.5
VT,562800,17500,0.031175034,608800,23200,0.038179976,626000,27600,0.044028372,624600,28200,0.045186153,16,22,10,15,10,14,21,9,7,4,9,12.45454545,137,11,165,118,128,46,22,12,69,61,49,0.6,3000,3000,0.441650548,4.866666667,0.25,0,0,25,1.372907,1.499524,1.033943,1,0.035460993,0.109880268,0.60869813,0.02589734,0.214153581,193,6.843971631,2,0.070921986,5,0.177304965,Metropolitan Statistical Area,16219,0.559430188,0.485815603,0.038083333,0.152333333,457,114.25
VA,6187400,311800,0.05039453,7078500,570300,0.080564779,8024600,911100,0.113540497,8411800,1031200,0.122585894,3451,2075,1868,3735,4528,6401,8569,5143,3159,1089,367,3671.363636,40385,2,2004,1758,2990,2163,708,763,4,2,108,0.847430407,275000,275000,3.560282813,11.38690909,-0.53,-192,-40,-53,0.6292996,0.9520685,0.4664856,20,0.01939488,0.359515321,2.307053356,0.188357728,0.808183363,2455,2.38072149,30,0.02909232,118,0.114429791,Metropolitan Statistical Area,1011911,0.974715843,3.916311094,0.008104545,0.032418182,8915,2228.75
WA,4866700,322100,0.066193628,5894100,614500,0.104249132,6744500,886300,0.131405223,7288000,1020400,0.140010154,2625,1139,682,2769,4436,4869,5223,5778,5759,4183,266,3429.909091,37729,267,1851,1611,2175,1502,2,7,654,807,3,2.848973607,240000,240000,3.3613378,9.709166667,0.38,45,7,38,0.7289348,0.8748444,0.3502194,30,0.029400235,0.497526451,2.16750894,0.236486323,0.660643462,1856,1.818894551,30,0.029400235,95,0.093100745,Metropolitan Statistical Area,958753,0.939050776,3.69747158,0.007436458,0.029745833,7139,1784.75
WV,1793500,15700,0.008760636,1808300,19400,0.010722517,1854000,22500,0.012142032,1831100,31800,0.017350208,269,197,126,158,262,461,316,502,645,716,178,348.1818182,3830,NA,424,527,492,284,NA,NA,1,1,441,1.134920635,3000,3000,10.94911378,67.46666667,-0.17,-17,-2,-17,-0.4466154,-0.5512274,-0.4500981,4,0.125786164,0.020978803,1.022021385,0.012584995,0.63847344,388,12.20125786,2,0.062893082,5,0.157232704,Metropolitan Statistical Area,23541,0.794230769,12.04402516,0.143916667,0.575666667,1727,431.75
WI,4891800,121500,0.024847249,5363700,193800,0.036122808,5691000,254900,0.044793164,5778700,288500,0.04993226,1180,564,571,1002,992,1176,1589,1034,913,605,483,919,10109,NA,687,594,719,517,NA,NA,NA,NA,3,1.066549912,75000,75000,3.185441941,11.49066667,0.01,3,3,1,1.609181,1.319926,0.7788086,17,0.058925477,0.181312732,1.373929426,0.077378663,0.489251668,1543,5.348353553,11,0.03812825,49,0.169844021,Metropolitan Statistical Area,249065,0.86667177,3.503986135,0.00839,0.03356,2517,629.25
WY,453600,7600,0.016858912,493800,11200,0.0226922,564500,15800,0.028067534,585500,18900,0.032204898,207,139,124,213,295,432,553,709,810,710,273,405.9090909,4465,NA,103,149,209,215,NA,NA,NA,NA,NA,0.669354839,5000,5000,21.47667148,39.12,0.02,-21,-2,2,0.8615851,0.9936918,0.5327922,3,0.158730159,0.290821186,1.465803583,0.185747962,0.68282017,183,9.682539683,NA,NA,1,0.052910053,Metropolitan Statistical Area,5225,0.257693825,23.62433862,0.0338,0.1352,676,169
